AgeGroup;Stage;Year;Probability
1;0;1;1,0000
1;1;1;1,0000
1;2;1;0,9920
1;3;1;0,9750
1;4;1;0,7140
1;5;1;0,9870
2;0;1;1,0000
2;1;1;1,0000
2;2;1;0,9930
2;3;1;0,9670
2;4;1;0,6840
2;5;1;0,9710
3;0;1;1,0000
3;1;1;1,0000
3;2;1;0,9860
3;3;1;0,9060
3;4;1;0,5250
3;5;1;0,8950
1;0;2;1,0000
1;1;2;0,9950
1;2;2;0,9595
1;3;2;0,9105
1;4;2;0,5315
1;5;2;0,9685
2;0;2;1,0000
2;1;2;0,9950
2;2;2;0,9600
2;3;2;0,9065
2;4;2;0,5165
2;5;2;0,9605
3;0;2;1,0000
3;1;2;0,9990
3;2;2;0,9285
3;3;2;0,8220
3;4;2;0,3900
3;5;2;0,8450
1;0;3;1,0000
1;1;3;0,9900
1;2;3;0,9270
1;3;3;0,8460
1;4;3;0,3490
1;5;3;0,9500
2;0;3;1,0000
2;1;3;0,9960
2;2;3;0,9340
2;3;3;0,8340
2;4;3;0,3740
2;5;3;0,9290
3;0;3;1,0000
3;1;3;0,9980
3;2;3;0,8710
3;3;3;0,7380
3;4;3;0,2550
3;5;3;0,7950
1;0;4;1,0000
1;1;4;0,9950
1;2;4;0,9385
1;3;4;0,8120
1;4;4;0,3205
1;5;4;0,8680
2;0;4;1,0000
2;1;4;0,9980
2;2;4;0,9420
2;3;4;0,8060
2;4;4;0,3330
2;5;4;0,8575
3;0;4;1,0000
3;1;4;0,9990
3;2;4;0,9105
3;3;4;0,7580
3;4;4;0,2735
3;5;4;0,7905
1;0;5;1,0000
1;1;5;1,0000
1;2;5;0,9500
1;3;5;0,7780
1;4;5;0,2920
1;5;5;0,7860
2;0;5;1,0000
2;1;5;1,0000
2;2;5;0,9500
2;3;5;0,7780
2;4;5;0,2920
2;5;5;0,7860
3;0;5;1,0000
3;1;5;1,0000
3;2;5;0,9500
3;3;5;0,7780
3;4;5;0,2920
3;5;5;0,7860
