Age group;Stage;Year;Probability
1;0;1;1.000
1;1;1;1.000
1;2;1;0.992
1;3;1;0.975
1;4;1;0.714
1;5;1;0.987
2;0;1;1.000
2;1;1;1.000
2;2;1;0.993
2;3;1;0.967
2;4;1;0.684
2;5;1;0.971
3;0;1;1.000
3;1;1;1.000
3;2;1;0.986
3;3;1;0.906
3;4;1;0.525
3;5;1;0.895
1;0;2;1.000
1;1;2;0.995
1;2;2;0.9595
1;3;2;0.9105
1;4;2;0.5315
1;5;2;0.9685
2;0;2;1.000
2;1;2;0.995
2;2;2;0.96
2;3;2;0.9065
2;4;2;0.5165
2;5;2;0.9605
3;0;2;1.000
3;1;2;0.999
3;2;2;0.9285
3;3;2;0.822
3;4;2;0.39
3;5;2;0.845
1;0;3;1.000
1;1;3;0.99
1;2;3;0.927
1;3;3;0.846
1;4;3;0.349
1;5;3;0.95
2;0;3;1.000
2;1;3;0.996
2;2;3;0.934
2;3;3;0.834
2;4;3;0.374
2;5;3;0.929
3;0;3;1.000
3;1;3;0.998
3;2;3;0.871
3;3;3;0.738
3;4;3;0.255
3;5;3;0.795
1;0;4;1.000
1;1;4;0.995
1;2;4;0.9385
1;3;4;0.812
1;4;4;0.3205
1;5;4;0.868
2;0;4;1.000
2;1;4;0.998
2;2;4;0.942
2;3;4;0.806
2;4;4;0.333
2;5;4;0.8575
3;0;4;1.000
3;1;4;0.999
3;2;4;0.9105
3;3;4;0.758
3;4;4;0.2735
3;5;4;0.7905
1;0;5;1.000
1;1;5;1.000
1;2;5;0.95
1;3;5;0.778
1;4;5;0.292
1;5;5;0.786
2;0;5;1.000
2;1;5;1.000
2;2;5;0.95
2;3;5;0.778
2;4;5;0.292
2;5;5;0.786
3;0;5;1.000
3;1;5;1.000
3;2;5;0.95
3;3;5;0.778
3;4;5;0.292
3;5;5;0.786
